"filename", "language", "C++", "Docker", "Makefile", "Markdown", "C", "Properties", "x86 and x86_64 Assembly", "XML", "comment", "blank", "total"
"c:\Users\rhysw\Documents\Projects\GalacOS2.0\.idea\misc.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 13
"c:\Users\rhysw\Documents\Projects\GalacOS2.0\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\rhysw\Documents\Projects\GalacOS2.0\Makefile", "Makefile", 0, 0, 22, 0, 0, 0, 0, 0, 0, 7, 29
"c:\Users\rhysw\Documents\Projects\GalacOS2.0\Readme.md", "Markdown", 0, 0, 0, 30, 0, 0, 0, 0, 0, 15, 45
"c:\Users\rhysw\Documents\Projects\GalacOS2.0\buildenv\Dockerfile", "Docker", 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\rhysw\Documents\Projects\GalacOS2.0\src\impl\kernel\main.c", "C", 0, 0, 0, 0, 22, 0, 0, 0, 0, 5, 27
"c:\Users\rhysw\Documents\Projects\GalacOS2.0\src\impl\x86_64\boot\header.asm", "x86 and x86_64 Assembly", 0, 0, 0, 0, 0, 0, 10, 0, 5, 1, 16
"c:\Users\rhysw\Documents\Projects\GalacOS2.0\src\impl\x86_64\boot\main.asm", "x86 and x86_64 Assembly", 0, 0, 0, 0, 0, 0, 106, 0, 6, 23, 135
"c:\Users\rhysw\Documents\Projects\GalacOS2.0\src\impl\x86_64\boot\main64.asm", "x86 and x86_64 Assembly", 0, 0, 0, 0, 0, 0, 13, 0, 0, 2, 15
"c:\Users\rhysw\Documents\Projects\GalacOS2.0\src\impl\x86_64\display.c", "C", 0, 0, 0, 0, 126, 0, 0, 0, 13, 18, 157
"c:\Users\rhysw\Documents\Projects\GalacOS2.0\src\impl\x86_64\hal.c", "C", 0, 0, 0, 0, 50, 0, 0, 0, 0, 8, 58
"c:\Users\rhysw\Documents\Projects\GalacOS2.0\src\impl\x86_64\idt.c", "C", 0, 0, 0, 0, 71, 0, 0, 0, 1, 10, 82
"c:\Users\rhysw\Documents\Projects\GalacOS2.0\src\impl\x86_64\interrupts.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 8
"c:\Users\rhysw\Documents\Projects\GalacOS2.0\src\impl\x86_64\keyboard.c", "C", 0, 0, 0, 0, 150, 0, 0, 0, 27, 15, 192
"c:\Users\rhysw\Documents\Projects\GalacOS2.0\src\impl\x86_64\manio.c", "C", 0, 0, 0, 0, 193, 0, 0, 0, 1, 34, 228
"c:\Users\rhysw\Documents\Projects\GalacOS2.0\src\impl\x86_64\math.c", "C", 0, 0, 0, 0, 11, 0, 0, 0, 18, 7, 36
"c:\Users\rhysw\Documents\Projects\GalacOS2.0\src\impl\x86_64\mutex.c", "C", 0, 0, 0, 0, 15, 0, 0, 0, 2, 3, 20
"c:\Users\rhysw\Documents\Projects\GalacOS2.0\src\impl\x86_64\pic.c", "C", 0, 0, 0, 0, 27, 0, 0, 0, 10, 6, 43
"c:\Users\rhysw\Documents\Projects\GalacOS2.0\src\impl\x86_64\pit.c", "C", 0, 0, 0, 0, 64, 0, 0, 0, 3, 16, 83
"c:\Users\rhysw\Documents\Projects\GalacOS2.0\src\impl\x86_64\rand.c", "C", 0, 0, 0, 0, 9, 0, 0, 0, 1, 3, 13
"c:\Users\rhysw\Documents\Projects\GalacOS2.0\src\impl\x86_64\string.c", "C", 0, 0, 0, 0, 89, 0, 0, 0, 0, 10, 99
"c:\Users\rhysw\Documents\Projects\GalacOS2.0\src\impl\x86_64\tasking.c", "C", 0, 0, 0, 0, 260, 0, 0, 0, 11, 25, 296
"c:\Users\rhysw\Documents\Projects\GalacOS2.0\src\intf\console.h", "C++", 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\rhysw\Documents\Projects\GalacOS2.0\src\intf\display.h", "C++", 32, 0, 0, 0, 0, 0, 0, 0, 4, 2, 38
"c:\Users\rhysw\Documents\Projects\GalacOS2.0\src\intf\hal.h", "C++", 27, 0, 0, 0, 0, 0, 0, 0, 0, 17, 44
"c:\Users\rhysw\Documents\Projects\GalacOS2.0\src\intf\idt.h", "C++", 22, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"c:\Users\rhysw\Documents\Projects\GalacOS2.0\src\intf\interrupts.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\rhysw\Documents\Projects\GalacOS2.0\src\intf\keyboard.h", "C++", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\rhysw\Documents\Projects\GalacOS2.0\src\intf\levos.h", "C++", 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\rhysw\Documents\Projects\GalacOS2.0\src\intf\manio.h", "C++", 32, 0, 0, 0, 0, 0, 0, 0, 0, 3, 35
"c:\Users\rhysw\Documents\Projects\GalacOS2.0\src\intf\math.h", "C++", 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\rhysw\Documents\Projects\GalacOS2.0\src\intf\mutex.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Users\rhysw\Documents\Projects\GalacOS2.0\src\intf\pic.h", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 17, 16, 82
"c:\Users\rhysw\Documents\Projects\GalacOS2.0\src\intf\pit.h", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 10, 40
"c:\Users\rhysw\Documents\Projects\GalacOS2.0\src\intf\rand.h", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\rhysw\Documents\Projects\GalacOS2.0\src\intf\string.h", "C++", 14, 0, 0, 0, 0, 0, 0, 0, 0, 6, 20
"c:\Users\rhysw\Documents\Projects\GalacOS2.0\src\intf\tasking.h", "C++", 37, 0, 0, 0, 0, 0, 0, 0, 1, 13, 51
"c:\Users\rhysw\Documents\Projects\GalacOS2.0\targets\x86_64\iso\boot\grub\grub.cfg", "Properties", 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"Total", "-", 281, 9, 22, 30, 1087, 6, 129, 19, 127, 299, 2009